Country,State,Year,Crop Name,Additional Info,"Area (UOM:Ha(Hectare)), Scaling Factor:1000","Area Percentage To All India (%) (UOM:%(Percentage)), Scaling Factor:1",Production ,"Production Percentage To All India (%) (UOM:%(Percentage)), Scaling Factor:1","Yield (UOM:Kg/Ha(KilogramperHectare)), Scaling Factor:1"
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2023",Bajra,,0.03,0.35,0.05,0.51,2097
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2023",Cotton,,0.42,3.33,0.74,2.27,297
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2023",Gram,,0.3,3.15,0.3,2.72,994
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2023",Groundnut,,0.31,6.62,0.32,3.18,1038
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2023",Jowar,,0.1,2.53,0.33,6.94,3191
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2023",Jute & Mesta,,0,0.1,0.01,0.08,2151
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2023",Maize,,0.29,2.6,1.82,4.83,6225
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2023",Rice,,1.92,4.02,7.34,5.33,3822
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2023",Sunflower,,0,2.84,0,2.2,886
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2023",Tobacco,,84,20.47,200.17,23.13,2383
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2023",Total Pulses,,0.94,3.42,0.82,3.39,874
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2023",Tur (Arhar),,0.23,5.64,0.1,2.82,413
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2023",Soybean,,0.01,0.07,0.01,0.1,1364
India,Assam,"Agriculture Year (Jul - Jun), 2023",Jute & Mesta,,0.06,9.34,0.67,6.95,2037
India,Assam,"Agriculture Year (Jul - Jun), 2023",Lentil (Masur),,0.03,1.54,0.02,1.26,845
India,Assam,"Agriculture Year (Jul - Jun), 2023",Rapeseed & Mustard,,0.32,3.48,0.25,1.89,786
India,Bihar,"Agriculture Year (Jul - Jun), 2023",Foodgrains,,6.83,5.17,21.2,6.38,3106
India,Bihar,"Agriculture Year (Jul - Jun), 2023",Jute & Mesta,,0.07,10.46,0.99,10.17,2661
India,Bihar,"Agriculture Year (Jul - Jun), 2023",Lentil (Masur),,0.14,8.03,0.11,6.35,813
India,Bihar,"Agriculture Year (Jul - Jun), 2023",Maize,,0.96,8.5,5.71,15.16,5975
India,Bihar,"Agriculture Year (Jul - Jun), 2023",Nutri/Coarse Cereals,,0.97,3.9,5.73,10.07,5896
India,Bihar,"Agriculture Year (Jul - Jun), 2023",Rapeseed & Mustard,,0.1,1.06,0.12,0.92,1263
India,Bihar,"Agriculture Year (Jul - Jun), 2023",Rice,,3.11,6.5,7.9,5.73,2541
India,Bihar,"Agriculture Year (Jul - Jun), 2023",Sugarcane,,0.2,3.52,12.08,2.67,59777
India,Bihar,"Agriculture Year (Jul - Jun), 2023",Sunflower,,0.01,4.13,0.01,5.06,1401
India,Bihar,"Agriculture Year (Jul - Jun), 2023",Tobacco,,10.67,2.6,18.73,2.16,1756
India,Bihar,"Agriculture Year (Jul - Jun), 2023",Wheat,,2.28,7.15,7.17,6.33,3150
India,Chhattisgarh,"Agriculture Year (Jul - Jun), 2023",Gram,,0.25,2.66,0.21,1.91,828
India,Chhattisgarh,"Agriculture Year (Jul - Jun), 2023",Jute & Mesta,,0,0.04,0,0.01,395
India,Chhattisgarh,"Agriculture Year (Jul - Jun), 2023",Lentil (Masur),,0.01,0.76,0.01,0.31,413
India,Chhattisgarh,"Agriculture Year (Jul - Jun), 2023",Rice,,3.82,7.99,9.7,7.04,2539
India,Chhattisgarh,"Agriculture Year (Jul - Jun), 2023",Soybean,,0.03,0.2,0.03,0.19,949
India,Gujarat,"Agriculture Year (Jul - Jun), 2023",Bajra,,0.52,7.05,1.31,12.18,2511
India,Gujarat,"Agriculture Year (Jul - Jun), 2023",Cotton,,2.68,21.15,9.06,27.85,574
India,Gujarat,"Agriculture Year (Jul - Jun), 2023",Gram,,0.62,6.49,1.07,9.66,1714
India,Gujarat,"Agriculture Year (Jul - Jun), 2023",Groundnut,,1.7,36.02,4.64,45.62,2739
India,Gujarat,"Agriculture Year (Jul - Jun), 2023",Jowar,,0.04,1.05,0.07,1.4,1550
India,Gujarat,"Agriculture Year (Jul - Jun), 2023",Nine Oilseeds,,3.14,10.39,7.28,18.35,2319
India,Gujarat,"Agriculture Year (Jul - Jun), 2023",Nutri/Coarse Cereals,,0.99,3.97,2.32,4.07,2342
India,Gujarat,"Agriculture Year (Jul - Jun), 2023",Rapeseed & Mustard,,0.28,3.02,0.53,3.97,1896
India,Gujarat,"Agriculture Year (Jul - Jun), 2023",Sugarcane,,0.2,3.52,14.48,3.2,71621
India,Gujarat,"Agriculture Year (Jul - Jun), 2023",Tobacco,,189.4,46.16,420.09,48.53,2218
India,Gujarat,"Agriculture Year (Jul - Jun), 2023",Total Pulses,,1.13,4.09,1.55,6.38,1375
India,Gujarat,"Agriculture Year (Jul - Jun), 2023",Tur (Arhar),,0.23,5.5,0.26,7.74,1163
India,Gujarat,"Agriculture Year (Jul - Jun), 2023",Wheat,,1.25,3.92,3.77,3.33,3027
India,Gujarat,"Agriculture Year (Jul - Jun), 2023",Soybean,,0.27,2,0.37,2.82,1386
India,Haryana,"Agriculture Year (Jul - Jun), 2023",Foodgrains,,4.54,3.44,18.44,5.55,4058
India,Haryana,"Agriculture Year (Jul - Jun), 2023",Bajra,,0.53,7.16,1.16,10.83,2200
India,Haryana,"Agriculture Year (Jul - Jun), 2023",Cotton,,0.58,4.55,1.51,4.64,444
India,Haryana,"Agriculture Year (Jul - Jun), 2023",Jowar,,0.02,0.47,0.01,0.21,527
India,Haryana,"Agriculture Year (Jul - Jun), 2023",Nine Oilseeds,,0.76,2.52,1.38,3.48,1811
India,Haryana,"Agriculture Year (Jul - Jun), 2023",Rapeseed & Mustard,,0.74,8.06,1.34,10.14,1816
India,Haryana,"Agriculture Year (Jul - Jun), 2023",Sugarcane,,0.09,1.54,7.37,1.63,83582
India,Haryana,"Agriculture Year (Jul - Jun), 2023",Sunflower,,0.01,9.78,0.03,16.61,1942
India,Haryana,"Agriculture Year (Jul - Jun), 2023",Wheat,,2.37,7.44,11.19,9.88,4723
India,Himachal Pradesh,"Agriculture Year (Jul - Jun), 2023",Wheat,,0.32,1,0.79,0.69,2480
India,Jharkhand,"Agriculture Year (Jul - Jun), 2023",Gram,,0.24,2.49,0.28,2.52,1167
India,Jharkhand,"Agriculture Year (Jul - Jun), 2023",Lentil (Masur),,0.06,3.3,0.05,2.94,917
India,Jharkhand,"Agriculture Year (Jul - Jun), 2023",Rapeseed & Mustard,,0.41,4.51,0.33,2.5,801
India,Jharkhand,"Agriculture Year (Jul - Jun), 2023",Total Pulses,,0.71,2.58,0.76,3.15,1078
India,Jharkhand,"Agriculture Year (Jul - Jun), 2023",Tur (Arhar),,0.19,4.56,0.22,6.34,1149
India,Karnataka,"Agriculture Year (Jul - Jun), 2023",Foodgrains,,7.47,5.66,12.78,3.85,1710
India,Karnataka,"Agriculture Year (Jul - Jun), 2023",Bajra,,0.13,1.74,0.16,1.52,1270
India,Karnataka,"Agriculture Year (Jul - Jun), 2023",Cotton,,0.74,5.86,2.06,6.33,471
India,Karnataka,"Agriculture Year (Jul - Jun), 2023",Gram,,0.64,6.65,0.39,3.5,605
India,Karnataka,"Agriculture Year (Jul - Jun), 2023",Groundnut,,0.37,7.92,0.24,2.37,648
India,Karnataka,"Agriculture Year (Jul - Jun), 2023",Jowar,,0.81,19.82,0.94,19.9,1167
India,Karnataka,"Agriculture Year (Jul - Jun), 2023",Maize,,1.97,17.54,5.63,14.95,2855
India,Karnataka,"Agriculture Year (Jul - Jun), 2023",Nine Oilseeds,,0.88,2.91,0.76,1.9,858
India,Karnataka,"Agriculture Year (Jul - Jun), 2023",Nutri/Coarse Cereals,,3.76,15.09,7.79,13.68,2070
India,Karnataka,"Agriculture Year (Jul - Jun), 2023",Sugarcane,,0.54,9.46,41.81,9.23,77000
India,Karnataka,"Agriculture Year (Jul - Jun), 2023",Sunflower,,0.08,49.71,0.07,41.97,966
India,Karnataka,"Agriculture Year (Jul - Jun), 2023",Tobacco,,77,18.76,56.06,6.48,728
India,Karnataka,"Agriculture Year (Jul - Jun), 2023",Total Pulses,,2.61,9.49,1.67,6.88,640
India,Karnataka,"Agriculture Year (Jul - Jun), 2023",Tur (Arhar),,1.37,33.05,1.02,29.84,747
India,Karnataka,"Agriculture Year (Jul - Jun), 2023",Soybean,,0.39,2.93,0.41,3.16,1062
India,Madhya Pradesh,"Agriculture Year (Jul - Jun), 2023",Foodgrains,,18.28,13.84,41.47,12.48,2268
India,Madhya Pradesh,"Agriculture Year (Jul - Jun), 2023",Bajra,,0.39,5.26,1,9.36,2586
India,Madhya Pradesh,"Agriculture Year (Jul - Jun), 2023",Cotton,,0.63,4.97,1.8,5.54,486
India,Madhya Pradesh,"Agriculture Year (Jul - Jun), 2023",Gram,,2.11,22.01,2.91,26.4,1381
India,Madhya Pradesh,"Agriculture Year (Jul - Jun), 2023",Groundnut,,0.48,10.18,0.98,9.65,2051
India,Madhya Pradesh,"Agriculture Year (Jul - Jun), 2023",Jowar,,0.09,2.13,0.16,3.44,1872
India,Madhya Pradesh,"Agriculture Year (Jul - Jun), 2023",Lentil (Masur),,0.72,41.03,0.82,45.98,1152
India,Madhya Pradesh,"Agriculture Year (Jul - Jun), 2023",Maize,,1.54,13.73,4.34,11.52,2812
India,Madhya Pradesh,"Agriculture Year (Jul - Jun), 2023",Nine Oilseeds,,8.17,27.07,8.58,21.62,1050
India,Madhya Pradesh,"Agriculture Year (Jul - Jun), 2023",Nutri/Coarse Cereals,,2.18,8.73,5.67,9.97,2606
India,Madhya Pradesh,"Agriculture Year (Jul - Jun), 2023",Rapeseed & Mustard,,1.34,14.54,1.96,14.8,1470
India,Madhya Pradesh,"Agriculture Year (Jul - Jun), 2023",Rice,,3.48,7.28,7.24,5.25,2080
India,Madhya Pradesh,"Agriculture Year (Jul - Jun), 2023",Sugarcane,,0.12,2,7.59,1.67,66000
India,Madhya Pradesh,"Agriculture Year (Jul - Jun), 2023",Total Pulses,,5.13,18.66,5.97,24.64,1165
India,Madhya Pradesh,"Agriculture Year (Jul - Jun), 2023",Tur (Arhar),,0.16,3.75,0.14,4.01,885
India,Madhya Pradesh,"Agriculture Year (Jul - Jun), 2023",Wheat,,7.5,23.55,22.58,19.93,3012
India,Madhya Pradesh,"Agriculture Year (Jul - Jun), 2023",Soybean,,6.06,45.72,5.47,41.89,903
India,Maharashtra,"Agriculture Year (Jul - Jun), 2023",Foodgrains,,10.77,8.15,14.51,4.37,1347
India,Maharashtra,"Agriculture Year (Jul - Jun), 2023",Bajra,,0.4,5.48,0.25,2.29,608
India,Maharashtra,"Agriculture Year (Jul - Jun), 2023",Cotton,,4.23,33.37,8.05,24.74,323
India,Maharashtra,"Agriculture Year (Jul - Jun), 2023",Gram,,2.69,28.04,2.84,25.69,1055
India,Maharashtra,"Agriculture Year (Jul - Jun), 2023",Groundnut,,0.23,4.81,0.28,2.8,1257
India,Maharashtra,"Agriculture Year (Jul - Jun), 2023",Jowar,,1.74,42.69,1.78,37.48,1020
India,Maharashtra,"Agriculture Year (Jul - Jun), 2023",Maize,,1.33,11.8,2.45,6.5,1847
India,Maharashtra,"Agriculture Year (Jul - Jun), 2023",Nine Oilseeds,,5.45,18.05,5.59,14.1,1027
India,Maharashtra,"Agriculture Year (Jul - Jun), 2023",Nutri/Coarse Cereals,,3.6,14.43,4.61,8.1,1282
India,Maharashtra,"Agriculture Year (Jul - Jun), 2023",Sugarcane,,1.44,25.04,112.09,24.73,78000
India,Maharashtra,"Agriculture Year (Jul - Jun), 2023",Sunflower,,0.01,4.07,0,1.38,387
India,Maharashtra,"Agriculture Year (Jul - Jun), 2023",Tobacco,,0.69,0.17,0.79,0.09,1139
India,Maharashtra,"Agriculture Year (Jul - Jun), 2023",Total Pulses,,4.43,16.12,4.01,16.53,904
India,Maharashtra,"Agriculture Year (Jul - Jun), 2023",Tur (Arhar),,1.11,26.92,0.89,26.13,803
India,Maharashtra,"Agriculture Year (Jul - Jun), 2023",Wheat,,1.05,3.29,1.99,1.75,1899
India,Maharashtra,"Agriculture Year (Jul - Jun), 2023",Soybean,,5.11,38.59,5.26,40.25,1028
India,Meghalaya,"Agriculture Year (Jul - Jun), 2023",Jute & Mesta,,0.01,1.22,0.06,0.57,1280
India,Meghalaya,"Agriculture Year (Jul - Jun), 2023",Tobacco,,0.81,0.2,0.75,0.09,932
India,Nagaland,"Agriculture Year (Jul - Jun), 2023",Jute & Mesta,,0,0.73,0.04,0.44,1662
India,Nagaland,"Agriculture Year (Jul - Jun), 2023",Soybean,,0.01,0.1,0.02,0.13,1260
India,Odisha,"Agriculture Year (Jul - Jun), 2023",Cotton,,0.22,1.7,0.7,2.17,554
India,Odisha,"Agriculture Year (Jul - Jun), 2023",Jute & Mesta,,0.01,1.01,0.06,0.6,1642
India,Odisha,"Agriculture Year (Jul - Jun), 2023",Lentil (Masur),,0.01,0.86,0.01,0.44,526
India,Odisha,"Agriculture Year (Jul - Jun), 2023",Rice,,4.07,8.51,8.47,6.15,2081
India,Odisha,"Agriculture Year (Jul - Jun), 2023",Sunflower,,0.02,12.07,0.02,13.26,1256
India,Odisha,"Agriculture Year (Jul - Jun), 2023",Total Pulses,,0.97,3.51,0.55,2.26,566
India,Odisha,"Agriculture Year (Jul - Jun), 2023",Tur (Arhar),,0.13,3.24,0.14,4.16,1062
India,Punjab,"Agriculture Year (Jul - Jun), 2023",Foodgrains,,6.87,5.2,32.54,9.79,4737
India,Punjab,"Agriculture Year (Jul - Jun), 2023",Cotton,,0.21,1.69,0.63,1.93,500
India,Punjab,"Agriculture Year (Jul - Jun), 2023",Rapeseed & Mustard,,0.04,0.47,0.07,0.52,1611
India,Punjab,"Agriculture Year (Jul - Jun), 2023",Rice,,3.18,6.65,14.36,10.42,4516
India,Punjab,"Agriculture Year (Jul - Jun), 2023",Sugarcane,,0.09,1.57,7.51,1.66,83254
India,Punjab,"Agriculture Year (Jul - Jun), 2023",Wheat,,3.52,11.04,17.74,15.66,5045
India,Rajasthan,"Agriculture Year (Jul - Jun), 2023",Foodgrains,,14.44,10.93,21.87,6.58,1515
India,Rajasthan,"Agriculture Year (Jul - Jun), 2023",Bajra,,4.29,58.14,4.43,41.34,1033
India,Rajasthan,"Agriculture Year (Jul - Jun), 2023",Cotton,,1,7.91,2.62,8.06,444
India,Rajasthan,"Agriculture Year (Jul - Jun), 2023",Gram,,1.78,18.52,1.92,17.39,1081
India,Rajasthan,"Agriculture Year (Jul - Jun), 2023",Groundnut,,0.89,18.92,2.03,19.91,2276
India,Rajasthan,"Agriculture Year (Jul - Jun), 2023",Jowar,,0.51,12.5,0.45,9.53,886
India,Rajasthan,"Agriculture Year (Jul - Jun), 2023",Lentil (Masur),,0.03,1.57,0.03,1.91,1254
India,Rajasthan,"Agriculture Year (Jul - Jun), 2023",Maize,,0.88,7.83,2.17,5.76,2464
India,Rajasthan,"Agriculture Year (Jul - Jun), 2023",Nine Oilseeds,,6.23,20.63,9.37,23.61,1503
India,Rajasthan,"Agriculture Year (Jul - Jun), 2023",Nutri/Coarse Cereals,,5.96,23.92,8.09,14.21,1357
India,Rajasthan,"Agriculture Year (Jul - Jun), 2023",Rapeseed & Mustard,,3.77,41.01,5.76,43.43,1529
India,Rajasthan,"Agriculture Year (Jul - Jun), 2023",Total Pulses,,5.47,19.88,3.33,13.76,610
India,Rajasthan,"Agriculture Year (Jul - Jun), 2023",Wheat,,2.74,8.61,9.7,8.56,3540
India,Rajasthan,"Agriculture Year (Jul - Jun), 2023",Soybean,,1.13,8.5,1.17,8.96,1038
India,Tamil Nadu,"Agriculture Year (Jul - Jun), 2023",Bajra,,0.05,0.65,0.12,1.09,2450
India,Tamil Nadu,"Agriculture Year (Jul - Jun), 2023",Groundnut,,0.33,6.92,0.88,8.62,2694
India,Tamil Nadu,"Agriculture Year (Jul - Jun), 2023",Jowar,,0.35,8.7,0.29,6.06,809
India,Tamil Nadu,"Agriculture Year (Jul - Jun), 2023",Maize,,0.45,4.05,2.84,7.54,6239
India,Tamil Nadu,"Agriculture Year (Jul - Jun), 2023",Nine Oilseeds,,0.4,1.33,0.92,2.31,2287
India,Tamil Nadu,"Agriculture Year (Jul - Jun), 2023",Nutri/Coarse Cereals,,0.95,3.81,3.51,6.17,3697
India,Tamil Nadu,"Agriculture Year (Jul - Jun), 2023",Rice,,2.1,4.39,6.8,4.93,3235
India,Tamil Nadu,"Agriculture Year (Jul - Jun), 2023",Sugarcane,,0.15,2.64,15.93,3.51,105000
India,Tamil Nadu,"Agriculture Year (Jul - Jun), 2023",Sunflower,,0.01,4.47,0.01,3.47,886
India,Tamil Nadu,"Agriculture Year (Jul - Jun), 2023",Tobacco,,2.12,0.52,3.23,0.37,1525
India,Tamil Nadu,"Agriculture Year (Jul - Jun), 2023",Tur (Arhar),,0.04,0.95,0.04,1.13,987
India,Telangana,"Agriculture Year (Jul - Jun), 2023",Foodgrains,,5.62,4.26,20.28,6.1,3606
India,Telangana,"Agriculture Year (Jul - Jun), 2023",Bajra,,0.01,0.07,0.02,0.16,3371
India,Telangana,"Agriculture Year (Jul - Jun), 2023",Cotton,,1.82,14.33,5.08,15.62,475
India,Telangana,"Agriculture Year (Jul - Jun), 2023",Gram,,0.1,1.01,0.16,1.48,1686
India,Telangana,"Agriculture Year (Jul - Jun), 2023",Groundnut,,0.09,1.95,0.23,2.21,2450
India,Telangana,"Agriculture Year (Jul - Jun), 2023",Jowar,,0.11,2.67,0.24,5.04,2190
India,Telangana,"Agriculture Year (Jul - Jun), 2023",Maize,,0.49,4.36,2.78,7.38,5671
India,Telangana,"Agriculture Year (Jul - Jun), 2023",Nine Oilseeds,,0.3,1.01,0.53,1.33,1735
India,Telangana,"Agriculture Year (Jul - Jun), 2023",Nutri/Coarse Cereals,,0.6,2.42,3.03,5.33,5024
India,Telangana,"Agriculture Year (Jul - Jun), 2023",Rice,,4.69,9.8,16.87,12.24,3602
India,Telangana,"Agriculture Year (Jul - Jun), 2023",Sunflower,,0.01,5.97,0.02,8.86,1698
India,Telangana,"Agriculture Year (Jul - Jun), 2023",Tobacco,,5,1.22,12.86,1.49,2571
India,Telangana,"Agriculture Year (Jul - Jun), 2023",Tur (Arhar),,0.18,4.33,0.15,4.25,812
India,Telangana,"Agriculture Year (Jul - Jun), 2023",Soybean,,0.18,1.37,0.27,2.07,1483
India,Tripura,"Agriculture Year (Jul - Jun), 2023",Jute & Mesta,,0,0.08,0,0.03,897
India,Uttar Pradesh,"Agriculture Year (Jul - Jun), 2023",Foodgrains,,20.96,15.87,60.29,18.14,2876
India,Uttar Pradesh,"Agriculture Year (Jul - Jun), 2023",Bajra,,1.01,13.7,2.19,20.48,2173
India,Uttar Pradesh,"Agriculture Year (Jul - Jun), 2023",Gram,,0.68,7.11,0.79,7.12,1153
India,Uttar Pradesh,"Agriculture Year (Jul - Jun), 2023",Groundnut,,0.13,2.68,0.15,1.45,1172
India,Uttar Pradesh,"Agriculture Year (Jul - Jun), 2023",Jowar,,0.29,7.09,0.46,9.76,1600
India,Uttar Pradesh,"Agriculture Year (Jul - Jun), 2023",Lentil (Masur),,0.58,33.11,0.58,32.19,1000
India,Uttar Pradesh,"Agriculture Year (Jul - Jun), 2023",Maize,,1.1,9.82,2.67,7.08,2417
India,Uttar Pradesh,"Agriculture Year (Jul - Jun), 2023",Nine Oilseeds,,1.92,6.36,2.23,5.63,1164
India,Uttar Pradesh,"Agriculture Year (Jul - Jun), 2023",Nutri/Coarse Cereals,,2.62,10.51,5.84,10.26,2227
India,Uttar Pradesh,"Agriculture Year (Jul - Jun), 2023",Rapeseed & Mustard,,1.31,14.28,1.92,14.45,1462
India,Uttar Pradesh,"Agriculture Year (Jul - Jun), 2023",Rice,,5.77,12.06,15.99,11.6,2772
India,Uttar Pradesh,"Agriculture Year (Jul - Jun), 2023",Sugarcane,,2.65,46.22,215.81,47.62,81346
India,Uttar Pradesh,"Agriculture Year (Jul - Jun), 2023",Sunflower,,0,1.33,0,1.59,1375
India,Uttar Pradesh,"Agriculture Year (Jul - Jun), 2023",Tobacco,,28,6.82,128.24,14.82,4580
India,Uttar Pradesh,"Agriculture Year (Jul - Jun), 2023",Total Pulses,,3.04,11.07,3.11,12.85,1024
India,Uttar Pradesh,"Agriculture Year (Jul - Jun), 2023",Tur (Arhar),,0.42,10.26,0.4,11.57,932
India,Uttar Pradesh,"Agriculture Year (Jul - Jun), 2023",Wheat,,9.53,29.94,35.34,31.19,3708
India,Uttar Pradesh,"Agriculture Year (Jul - Jun), 2023",Soybean,,0.03,0.22,0.02,0.14,627
India,Uttarakhand,"Agriculture Year (Jul - Jun), 2023",Lentil (Masur),,0.01,0.56,0.01,0.41,757
India,Uttarakhand,"Agriculture Year (Jul - Jun), 2023",Sugarcane,,0.09,1.64,7.78,1.72,82646
India,Uttarakhand,"Agriculture Year (Jul - Jun), 2023",Wheat,,0.27,0.84,0.87,0.77,3244
India,West Bengal,"Agriculture Year (Jul - Jun), 2023",Foodgrains,,6.15,4.66,19.32,5.82,3141
India,West Bengal,"Agriculture Year (Jul - Jun), 2023",Groundnut,,0.08,1.8,0.26,2.54,3060
India,West Bengal,"Agriculture Year (Jul - Jun), 2023",Jute & Mesta,,0.49,77.03,7.87,81.15,2883
India,West Bengal,"Agriculture Year (Jul - Jun), 2023",Lentil (Masur),,0.16,9.06,0.14,8.04,913
India,West Bengal,"Agriculture Year (Jul - Jun), 2023",Maize,,0.39,3.49,2.6,6.91,6633
India,West Bengal,"Agriculture Year (Jul - Jun), 2023",Nine Oilseeds,,1,3.32,1.33,3.36,1330
India,West Bengal,"Agriculture Year (Jul - Jun), 2023",Nutri/Coarse Cereals,,0.4,1.6,2.61,4.59,6529
India,West Bengal,"Agriculture Year (Jul - Jun), 2023",Rapeseed & Mustard,,0.63,6.89,0.79,5.94,1244
India,West Bengal,"Agriculture Year (Jul - Jun), 2023",Rice,,5.12,10.7,15.69,11.38,3064
India,West Bengal,"Agriculture Year (Jul - Jun), 2023",Sunflower,,0,2.96,0.01,2.98,1148
India,West Bengal,"Agriculture Year (Jul - Jun), 2023",Tobacco,,12.29,2.99,24.24,2.8,1973
India,West Bengal,"Agriculture Year (Jul - Jun), 2023",Total Pulses,,0.44,1.61,0.43,1.79,979
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2022",Bajra,,0.03,0.33,0.05,0.44,2027
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2022",Gram,,0.33,3.14,0.46,3.72,1388
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2022",Groundnut,,0.59,11.97,0.6,5.83,1011
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2022",Jowar,,0.07,1.98,0.28,7.44,4054
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2022",Maize,,0.39,3.59,2.76,7.23,7138
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2022",Nine Oilseeds,,0.72,2.38,0.67,1.63,937
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2022",Nutri/Coarse Cereals,,0.52,2.16,3.13,5.46,6033
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2022",Rice,,2.13,4.45,7.94,5.85,3730
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2022",Soyabean,,0.02,0.11,0.03,0.18,1838
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2022",Sunflower,,0.02,5.76,0.02,4.82,834
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2022",Tobacco,,58,15.29,118.09,15.34,2036
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2022",Total Pulses,,1.03,3.57,1.08,4.13,1042
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2022",Tur (Arhar),,0.24,5.95,0.08,2.36,323
India,Assam,"Agriculture Year (Jul - Jun), 2022",Jute & Mesta,,0.06,9.27,0.71,7.55,2094
India,Assam,"Agriculture Year (Jul - Jun), 2022",Lentil (Masur),,0.03,1.53,0.02,1.28,799
India,Assam,"Agriculture Year (Jul - Jun), 2022",Rapeseed & Mustard,,0.3,3.34,0.23,1.84,788
India,Bihar,"Agriculture Year (Jul - Jun), 2022",Foodgrains,,6.26,4.73,18.34,5.56,2931
India,Bihar,"Agriculture Year (Jul - Jun), 2022",Jute & Mesta,,0.06,9.16,0.77,8.23,2309
India,Bihar,"Agriculture Year (Jul - Jun), 2022",Lentil (Masur),,0.13,8.16,0.13,8.44,985
India,Bihar,"Agriculture Year (Jul - Jun), 2022",Maize,,0.75,6.96,4.38,11.5,5854
India,Bihar,"Agriculture Year (Jul - Jun), 2022",Nutri/Coarse Cereals,,0.76,3.17,4.4,7.67,5770
India,Bihar,"Agriculture Year (Jul - Jun), 2022",Rapeseed & Mustard,,0.08,0.92,0.1,0.75,1175
India,Bihar,"Agriculture Year (Jul - Jun), 2022",Rice,,2.86,5.99,7.02,5.17,2453
India,Bihar,"Agriculture Year (Jul - Jun), 2022",Soyabean,,0.02,0.14,0.02,0.12,957
India,Bihar,"Agriculture Year (Jul - Jun), 2022",Sugarcane,,0.21,3.57,12.74,2.6,60627
India,Bihar,"Agriculture Year (Jul - Jun), 2022",Sunflower,,0.01,1.74,0.01,2.48,1419
India,Bihar,"Agriculture Year (Jul - Jun), 2022",Tobacco,,10.32,2.72,18.14,2.36,1757
India,Bihar,"Agriculture Year (Jul - Jun), 2022",Wheat,,2.2,7,6.51,5.89,2958
India,Chhattisgarh,"Agriculture Year (Jul - Jun), 2022",Gram,,0.31,2.92,0.28,2.27,912
India,Chhattisgarh,"Agriculture Year (Jul - Jun), 2022",Lentil (Masur),,0.01,0.77,0.01,0.34,425
India,Chhattisgarh,"Agriculture Year (Jul - Jun), 2022",Rice,,3.77,7.88,9.81,7.23,2602
India,Chhattisgarh,"Agriculture Year (Jul - Jun), 2022",Soyabean,,0.03,0.22,0.03,0.18,973
India,Gujarat,"Agriculture Year (Jul - Jun), 2022",Bajra,,0.5,6.63,1.29,11.32,2577
India,Gujarat,"Agriculture Year (Jul - Jun), 2022",Gram,,0.76,7.3,1.3,10.58,1699
India,Gujarat,"Agriculture Year (Jul - Jun), 2022",Groundnut,,1.76,35.54,4.53,44.01,2570
India,Gujarat,"Agriculture Year (Jul - Jun), 2022",Jowar,,0.03,0.89,0.05,1.21,1460
India,Gujarat,"Agriculture Year (Jul - Jun), 2022",Nine Oilseeds,,3.21,10.6,7.26,17.55,2263
India,Gujarat,"Agriculture Year (Jul - Jun), 2022",Rapeseed & Mustard,,0.31,3.47,0.6,4.77,1966
India,Gujarat,"Agriculture Year (Jul - Jun), 2022",Soyabean,,0.22,1.69,0.37,2.49,1682
India,Gujarat,"Agriculture Year (Jul - Jun), 2022",Sugarcane,,0.18,3.08,13.46,2.74,74344
India,Gujarat,"Agriculture Year (Jul - Jun), 2022",Tobacco,,192.85,50.84,447.22,58.09,2319
India,Gujarat,"Agriculture Year (Jul - Jun), 2022",Total Pulses,,1.31,4.53,1.79,6.88,1368
India,Gujarat,"Agriculture Year (Jul - Jun), 2022",Tur (Arhar),,0.24,5.99,0.28,8.56,1163
India,Gujarat,"Agriculture Year (Jul - Jun), 2022",Wheat,,1.07,3.4,3.46,3.13,3248
India,Haryana,"Agriculture Year (Jul - Jun), 2022",Foodgrains,,4.52,3.42,17.39,5.28,3846
